2019-10-22 09:59:07,497: matplotlib.pyplot DEBUG   : Loaded backend module://ipykernel.pylab.backend_inline version unknown.
2019-10-22 09:59:07,544: matplotlib.pyplot DEBUG   : Loaded backend module://ipykernel.pylab.backend_inline version unknown.
2019-10-22 09:59:26,755: matplotlib.pyplot DEBUG   : Loaded backend module://ipykernel.pylab.backend_inline version unknown.
2019-10-22 10:01:17,205: matplotlib.ticker DEBUG   : vmin 0.0006841392436308035 vmax 0.7325807403876077
2019-10-22 10:01:17,205: matplotlib.ticker DEBUG   : ticklocs array([1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01])
2019-10-22 10:01:17,213: matplotlib.ticker DEBUG   : vmin 0.0061582311458667684 vmax 7.374747760850915
2019-10-22 10:01:17,213: matplotlib.ticker DEBUG   : ticklocs array([1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01, 1.e+02])
2019-10-22 10:01:17,222: matplotlib.font_manager DEBUG   : findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=14.399999999999999.
2019-10-22 10:01:17,223: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal bold normal>) = 11.335
2019-10-22 10:01:17,223: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal bold normal>) = 10.335
2019-10-22 10:01:17,223: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal regular normal>) = 10.05
2019-10-22 10:01:17,223: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.05
2019-10-22 10:01:17,224: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal bold normal>) = 10.335
2019-10-22 10:01:17,224: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.05
2019-10-22 10:01:17,224: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.05
2019-10-22 10:01:17,224: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.05
