2019-09-23 09:52:16,674: matplotlib.pyplot DEBUG   : Loaded backend module://ipykernel.pylab.backend_inline version unknown.
2019-09-23 09:52:16,698: matplotlib.pyplot DEBUG   : Loaded backend module://ipykernel.pylab.backend_inline version unknown.
2019-09-23 09:52:44,556: matplotlib.ticker DEBUG   : vmin 0.0006860560498263325 vmax 0.702570358371629
2019-09-23 09:52:44,557: matplotlib.ticker DEBUG   : ticklocs array([1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01])
2019-09-23 09:52:44,564: matplotlib.ticker DEBUG   : vmin 0.10725512857868301 vmax 6.328360483907019
2019-09-23 09:52:44,565: matplotlib.ticker DEBUG   : ticklocs array([1.e-02, 1.e-01, 1.e+00, 1.e+01, 1.e+02])
2019-09-23 09:52:44,572: matplotlib.font_manager DEBUG   : findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.
2019-09-23 09:52:44,573: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXGeneral' (STIXGeneralBolIta.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,573: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBol.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,573: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymReg.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,573: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,573: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeFourSym' (STIXSizFourSymBol.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,573: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXGeneral' (STIXGeneralItalic.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,573: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Serif Display' (DejaVuSerifDisplay.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXNonUnicode' (STIXNonUni.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Serif' (DejaVuSerif-Bold.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymBol.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmmi10' (cmmi10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Display' (DejaVuSansDisplay.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmr10' (cmr10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans' (DejaVuSans.ttf) normal normal 400 normal>) = 0.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymReg.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmss10' (cmss10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,574: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXGeneral' (STIXGeneralBol.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmb10' (cmb10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Bold.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Oblique.ttf) oblique normal 400 normal>) = 1.05
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans' (DejaVuSans-BoldOblique.ttf) oblique normal bold normal>) = 1.335
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeTwoSym' (STIXSizTwoSymBol.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans Mono' (DejaVuSansMono-Oblique.ttf) oblique normal 400 normal>) = 11.05
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXNonUnicode' (STIXNonUniIta.ttf) italic normal 400 normal>) = 11.05
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeFiveSym' (STIXSizFiveSymReg.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeOneSym' (STIXSizOneSymBol.ttf) normal normal bold normal>) = 10.335
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXSizeThreeSym' (STIXSizThreeSymReg.ttf) normal normal regular normal>) = 10.05
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'STIXNonUnicode' (STIXNonUniBolIta.ttf) italic normal bold normal>) = 11.335
2019-09-23 09:52:44,575: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmtt10' (cmtt10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'DejaVu Sans' (DejaVuSans-Bold.ttf) normal normal bold normal>) = 0.33499999999999996
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmex10' (cmex10.ttf) normal normal 400 normal>) = 10.05
2019-09-23 09:52:44,576: matplotlib.font_manager DEBUG   : findfont: score(<Font 'cmsy10' (cmsy10.ttf) normal normal 400 normal>) = 10.05
