,dataset,dimensions,dof,gamma_init,gamma_method,hsic_value,mi_value,samples,scorer,trial
0,tstudent,2.0,1.0,1.8420157493201932,silverman,0.01991065501566174,0.30204181382776124,50.0,hsic,1.0
1,tstudent,2.0,2.0,1.8420157493201932,silverman,0.01846143900107385,0.1365193474204767,50.0,hsic,1.0
2,tstudent,2.0,3.0,1.8420157493201932,silverman,0.01766083631158278,0.07945839242944243,50.0,hsic,1.0
3,tstudent,2.0,4.0,1.8420157493201932,silverman,0.01722663144597671,0.052637860096208584,50.0,hsic,1.0
4,tstudent,2.0,5.0,1.8420157493201932,silverman,0.016863080860932585,0.03782265434438592,50.0,hsic,1.0
5,tstudent,2.0,6.0,1.8420157493201932,silverman,0.016543610860937367,0.013491066735954457,50.0,hsic,1.0
6,tstudent,2.0,7.0,1.8420157493201932,silverman,0.016334480818563975,0.00784967630613727,50.0,hsic,1.0
7,tstudent,2.0,8.0,1.8420157493201932,silverman,0.01622188336096143,0.005690526141371728,50.0,hsic,1.0
8,tstudent,2.0,9.0,1.8420157493201932,silverman,0.016100997513835723,0.0040529189612695795,50.0,hsic,1.0
9,tstudent,2.0,1.0,1.8420157493201932,silverman,0.6506089076907499,0.30204181382776124,50.0,tka,1.0
10,tstudent,2.0,2.0,1.8420157493201932,silverman,0.5297563155104121,0.1365193474204767,50.0,tka,1.0
11,tstudent,2.0,3.0,1.8420157493201932,silverman,0.48927086453714075,0.07945839242944243,50.0,tka,1.0
12,tstudent,2.0,4.0,1.8420157493201932,silverman,0.4770008609867319,0.052637860096208584,50.0,tka,1.0
13,tstudent,2.0,5.0,1.8420157493201932,silverman,0.46719704079381197,0.03782265434438592,50.0,tka,1.0
14,tstudent,2.0,6.0,1.8420157493201932,silverman,0.47618126526206,0.013491066735954457,50.0,tka,1.0
15,tstudent,2.0,7.0,1.8420157493201932,silverman,0.46889731598192647,0.00784967630613727,50.0,tka,1.0
16,tstudent,2.0,8.0,1.8420157493201932,silverman,0.4649450918471897,0.005690526141371728,50.0,tka,1.0
17,tstudent,2.0,9.0,1.8420157493201932,silverman,0.46046988215098555,0.0040529189612695795,50.0,tka,1.0
18,tstudent,2.0,1.0,1.8420157493201932,silverman,0.6234971784221596,0.30204181382776124,50.0,ctka,1.0
