,dataset,trial,n_samples,d_dimensions,nu,gamma,scorer,value,gamma_mean,gamma_scott,gamma_silv,noise
0,tstudent,1,500,2,1,0.3610404509192732,hsic,0.0028139986043625603,1.0,0.35495366597555705,0.35495366597555705,0.001
1,tstudent,1,500,2,1,0.005,tka,0.9978988674220799,1.0,0.35495366597555705,0.35495366597555705,0.001
2,tstudent,1,500,2,1,49.99999999999999,ctka,0.530664875945775,1.0,0.35495366597555705,0.35495366597555705,0.001
3,tstudent,1,500,2,2,49.99999999999999,hsic,0.001985437812011865,1.0,0.35495366597555705,0.35495366597555705,0.001
4,tstudent,1,500,2,2,0.005,tka,0.9977704916953775,1.0,0.35495366597555705,0.35495366597555705,0.001
5,tstudent,1,500,2,2,49.99999999999999,ctka,0.4985388637874614,1.0,0.35495366597555705,0.35495366597555705,0.001
6,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019887961261042127,1.0,0.35495366597555705,0.35495366597555705,0.001
7,tstudent,1,500,2,3,0.005,tka,0.9995233242353713,1.0,0.35495366597555705,0.35495366597555705,0.001
8,tstudent,1,500,2,3,49.99999999999999,ctka,0.4694276302045882,1.0,0.35495366597555705,0.35495366597555705,0.001
9,tstudent,1,500,2,1,0.3610404509192732,hsic,0.002815222801431906,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
10,tstudent,1,500,2,1,0.005,tka,0.9978983353874205,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
11,tstudent,1,500,2,1,49.99999999999999,ctka,0.5314322525299943,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
12,tstudent,1,500,2,2,49.99999999999999,hsic,0.0019856547271283956,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
13,tstudent,1,500,2,2,0.005,tka,0.997770058491858,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
14,tstudent,1,500,2,2,49.99999999999999,ctka,0.4990362639826802,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
15,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019888419282549988,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
16,tstudent,1,500,2,3,0.005,tka,0.9995234050734872,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
17,tstudent,1,500,2,3,49.99999999999999,ctka,0.4692937889513546,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
18,tstudent,1,500,2,1,0.3610404509192732,hsic,0.0028169399783947173,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
19,tstudent,1,500,2,1,0.005,tka,0.9978992187184997,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
20,tstudent,1,500,2,1,49.99999999999999,ctka,0.5310334968529961,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
21,tstudent,1,500,2,2,49.99999999999999,hsic,0.001984897169472464,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
22,tstudent,1,500,2,2,0.005,tka,0.9977697550366307,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
23,tstudent,1,500,2,2,49.99999999999999,ctka,0.4985084201226559,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
24,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019889523795117796,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
25,tstudent,1,500,2,3,0.005,tka,0.9995232503656398,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
26,tstudent,1,500,2,3,49.99999999999999,ctka,0.47021899429734076,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
27,tstudent,1,500,2,1,0.3610404509192732,hsic,0.0028123696935048346,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
28,tstudent,1,500,2,1,0.005,tka,0.9978984700916884,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
29,tstudent,1,500,2,1,49.99999999999999,ctka,0.5311837921830299,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
30,tstudent,1,500,2,2,49.99999999999999,hsic,0.001985764805293534,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
31,tstudent,1,500,2,2,0.005,tka,0.9977699038199106,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
32,tstudent,1,500,2,2,49.99999999999999,ctka,0.5000546569666368,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
33,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019886619956930494,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
34,tstudent,1,500,2,3,0.005,tka,0.9995228243414369,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
35,tstudent,1,500,2,3,49.99999999999999,ctka,0.47168039312841603,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
36,tstudent,1,500,2,1,0.3610404509192732,hsic,0.0028091083140296394,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
37,tstudent,1,500,2,1,0.005,tka,0.9978977265224316,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
38,tstudent,1,500,2,1,49.99999999999999,ctka,0.532008920181134,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
39,tstudent,1,500,2,2,49.99999999999999,hsic,0.001984617664404485,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
40,tstudent,1,500,2,2,0.005,tka,0.9977689229379788,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
41,tstudent,1,500,2,2,49.99999999999999,ctka,0.49963513177592644,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
42,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019916952824884713,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
43,tstudent,1,500,2,3,0.005,tka,0.9995233485898114,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
44,tstudent,1,500,2,3,49.99999999999999,ctka,0.47328447304741245,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
45,tstudent,1,500,2,1,0.3610404509192732,hsic,0.0027847143866349153,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
46,tstudent,1,500,2,1,0.005,tka,0.9978891619004568,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
47,tstudent,1,500,2,1,49.99999999999999,ctka,0.5292028933352324,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
48,tstudent,1,500,2,2,49.99999999999999,hsic,0.001984441661582632,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
49,tstudent,1,500,2,2,0.005,tka,0.997772822118947,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
50,tstudent,1,500,2,2,49.99999999999999,ctka,0.4981591029349902,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
51,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019891394705672844,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
52,tstudent,1,500,2,3,0.005,tka,0.9995242400291795,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
53,tstudent,1,500,2,3,49.99999999999999,ctka,0.46836771793465864,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
54,tstudent,1,500,2,1,0.3962414491769585,hsic,0.002820206831397225,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
55,tstudent,1,500,2,1,0.005,tka,0.9979080353340226,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
56,tstudent,1,500,2,1,49.99999999999999,ctka,0.5401855560484313,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
57,tstudent,1,500,2,2,49.99999999999999,hsic,0.001976364607616862,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
58,tstudent,1,500,2,2,0.005,tka,0.9977759913160252,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
59,tstudent,1,500,2,2,49.99999999999999,ctka,0.5067254506329076,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
60,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019921969438196556,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
61,tstudent,1,500,2,3,0.005,tka,0.9995221341399438,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
62,tstudent,1,500,2,3,49.99999999999999,ctka,0.48037996194233035,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
63,tstudent,1,500,2,1,0.3610404509192732,hsic,0.0028878560474150674,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
64,tstudent,1,500,2,1,0.005,tka,0.9979401449169994,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
65,tstudent,1,500,2,1,49.99999999999999,ctka,0.5265595908081188,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
66,tstudent,1,500,2,2,49.99999999999999,hsic,0.0019731577468269606,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
67,tstudent,1,500,2,2,0.005,tka,0.9977312365900332,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
68,tstudent,1,500,2,2,49.99999999999999,ctka,0.5223711373212713,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
69,tstudent,1,500,2,3,49.99999999999999,hsic,0.001970189291935223,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
70,tstudent,1,500,2,3,0.005,tka,0.9994891633888657,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
71,tstudent,1,500,2,3,49.99999999999999,ctka,0.4518022115363922,1.0,0.35495366597555705,0.35495366597555705,0.12589254117941687
72,tstudent,1,500,2,1,0.3610404509192732,hsic,0.0025535468752725626,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
73,tstudent,1,500,2,1,0.005,tka,0.9978408238059321,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
74,tstudent,1,500,2,1,49.99999999999999,ctka,0.5375401291381932,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
75,tstudent,1,500,2,2,49.99999999999999,hsic,0.0019826963049109332,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
76,tstudent,1,500,2,2,0.005,tka,0.9976095212629169,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
77,tstudent,1,500,2,2,49.99999999999999,ctka,0.5214910226393837,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
78,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019802068165200863,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
79,tstudent,1,500,2,3,0.005,tka,0.9994864615632338,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
80,tstudent,1,500,2,3,49.99999999999999,ctka,0.48272668534395036,1.0,0.35495366597555705,0.35495366597555705,0.25118864315095824
81,tstudent,1,500,2,1,49.99999999999999,hsic,0.0019820329495023924,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
82,tstudent,1,500,2,1,0.005,tka,0.9973707743037246,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
83,tstudent,1,500,2,1,49.99999999999999,ctka,0.5682153440107836,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
84,tstudent,1,500,2,2,49.99999999999999,hsic,0.0019844347616968915,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
85,tstudent,1,500,2,2,0.005,tka,0.9974769972525798,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
86,tstudent,1,500,2,2,49.99999999999999,ctka,0.5533150295028116,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
87,tstudent,1,500,2,3,49.99999999999999,hsic,0.0019817276341877643,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
88,tstudent,1,500,2,3,0.005,tka,0.9993104857987309,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
89,tstudent,1,500,2,3,49.99999999999999,ctka,0.5252390072145098,1.0,0.35495366597555705,0.35495366597555705,0.5011872336272722
90,tstudent,2,500,2,1,0.32896661232878377,hsic,0.004250339587693914,1.0,0.35495366597555705,0.35495366597555705,0.001
91,tstudent,2,500,2,1,0.005,tka,0.9968432585553338,1.0,0.35495366597555705,0.35495366597555705,0.001
92,tstudent,2,500,2,1,49.99999999999999,ctka,0.5430436805550882,1.0,0.35495366597555705,0.35495366597555705,0.001
93,tstudent,2,500,2,2,0.4772742283309168,hsic,0.0028769058828255565,1.0,0.35495366597555705,0.35495366597555705,0.001
94,tstudent,2,500,2,2,0.005,tka,0.9980715772784539,1.0,0.35495366597555705,0.35495366597555705,0.001
95,tstudent,2,500,2,2,49.99999999999999,ctka,0.5100263706457926,1.0,0.35495366597555705,0.35495366597555705,0.001
96,tstudent,2,500,2,3,0.7599555414764665,hsic,0.002702424050168246,1.0,0.35495366597555705,0.35495366597555705,0.001
97,tstudent,2,500,2,3,0.005,tka,0.9993916554640531,1.0,0.35495366597555705,0.35495366597555705,0.001
98,tstudent,2,500,2,3,49.99999999999999,ctka,0.46594423665133095,1.0,0.35495366597555705,0.35495366597555705,0.001
99,tstudent,2,500,2,1,0.32896661232878377,hsic,0.004250069277580755,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
100,tstudent,2,500,2,1,0.005,tka,0.9968435404786739,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
101,tstudent,2,500,2,1,49.99999999999999,ctka,0.5432047077486665,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
102,tstudent,2,500,2,2,0.4772742283309168,hsic,0.0028768632011580498,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
103,tstudent,2,500,2,2,0.005,tka,0.9980713733576017,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
104,tstudent,2,500,2,2,49.99999999999999,ctka,0.5099856109105734,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
105,tstudent,2,500,2,3,0.7599555414764665,hsic,0.002699678666446453,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
106,tstudent,2,500,2,3,0.005,tka,0.9993915542331906,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
107,tstudent,2,500,2,3,49.99999999999999,ctka,0.4659901654233437,1.0,0.35495366597555705,0.35495366597555705,0.001995262314968879
108,tstudent,2,500,2,1,0.32896661232878377,hsic,0.004248375865815302,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
109,tstudent,2,500,2,1,0.005,tka,0.996843506107773,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
110,tstudent,2,500,2,1,49.99999999999999,ctka,0.5438652365945813,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
111,tstudent,2,500,2,2,0.4772742283309168,hsic,0.002876292387382766,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
112,tstudent,2,500,2,2,0.005,tka,0.9980725629930355,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
113,tstudent,2,500,2,2,49.99999999999999,ctka,0.5096955596184639,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
114,tstudent,2,500,2,3,0.7599555414764665,hsic,0.002703499384834015,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
115,tstudent,2,500,2,3,0.005,tka,0.9993911973385916,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
116,tstudent,2,500,2,3,49.99999999999999,ctka,0.4652677003674122,1.0,0.35495366597555705,0.35495366597555705,0.003981071705534973
117,tstudent,2,500,2,1,0.32896661232878377,hsic,0.00424649223702695,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
118,tstudent,2,500,2,1,0.005,tka,0.9968430398222959,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
119,tstudent,2,500,2,1,49.99999999999999,ctka,0.5436206908503572,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
120,tstudent,2,500,2,2,0.4772742283309168,hsic,0.002873628496386567,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
121,tstudent,2,500,2,2,0.005,tka,0.9980734196857804,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
122,tstudent,2,500,2,2,49.99999999999999,ctka,0.5120577115881214,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
123,tstudent,2,500,2,3,0.7599555414764665,hsic,0.0027078345442614615,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
124,tstudent,2,500,2,3,0.005,tka,0.9993919499153041,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
125,tstudent,2,500,2,3,49.99999999999999,ctka,0.4662369148158227,1.0,0.35495366597555705,0.35495366597555705,0.00794328234724282
126,tstudent,2,500,2,1,0.32896661232878377,hsic,0.004238835549919608,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
127,tstudent,2,500,2,1,0.005,tka,0.9968462586021491,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
128,tstudent,2,500,2,1,49.99999999999999,ctka,0.5415683871897481,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
129,tstudent,2,500,2,2,0.5238078763948323,hsic,0.002841334175827556,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
130,tstudent,2,500,2,2,0.005,tka,0.9980756468277552,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
131,tstudent,2,500,2,2,49.99999999999999,ctka,0.5129029444874548,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
132,tstudent,2,500,2,3,0.8340502686000291,hsic,0.0026565523705797587,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
133,tstudent,2,500,2,3,0.005,tka,0.999391385584669,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
134,tstudent,2,500,2,3,49.99999999999999,ctka,0.4680709827510442,1.0,0.35495366597555705,0.35495366597555705,0.01584893192461114
135,tstudent,2,500,2,1,0.32896661232878377,hsic,0.004243417556179194,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
136,tstudent,2,500,2,1,0.005,tka,0.9968343286218313,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
137,tstudent,2,500,2,1,49.99999999999999,ctka,0.5433803866551514,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
138,tstudent,2,500,2,2,0.5238078763948323,hsic,0.00286043990014914,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
139,tstudent,2,500,2,2,0.005,tka,0.9980622503253854,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
140,tstudent,2,500,2,2,49.99999999999999,ctka,0.5102408689456195,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
141,tstudent,2,500,2,3,0.8340502686000291,hsic,0.0026262863167475694,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
142,tstudent,2,500,2,3,0.005,tka,0.999389683115825,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
143,tstudent,2,500,2,3,49.99999999999999,ctka,0.465464155099062,1.0,0.35495366597555705,0.35495366597555705,0.03162277660168381
144,tstudent,2,500,2,1,0.32896661232878377,hsic,0.004225771961206896,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
145,tstudent,2,500,2,1,0.005,tka,0.9968438835768194,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
146,tstudent,2,500,2,1,49.99999999999999,ctka,0.5476080563461428,1.0,0.35495366597555705,0.35495366597555705,0.06309573444801936
