,dataset,trial,n_samples,d_dimensions,nu,gamma,scorer,value
0,gauss,1,500,2,,0.4772742283309168,hsic,0.026462450044265916
1,gauss,1,500,2,,0.005,tka,0.999843927663067
2,gauss,1,500,2,,0.005,ctka,0.6083557246244036
3,gauss,2,500,2,,0.2997421251594704,hsic,0.03316001251628164
4,gauss,2,500,2,,0.005,tka,0.9996745325355542
5,gauss,2,500,2,,0.005,ctka,0.6554249463440336
6,gauss,3,500,2,,0.6309284415330099,hsic,0.025126142266518412
7,gauss,3,500,2,,0.005,tka,0.9997493723372578
8,gauss,3,500,2,,0.013912797011035614,ctka,0.4996105558969483
9,gauss,4,500,2,,0.24885117821660546,hsic,0.04702735309081775
10,gauss,4,500,2,,0.005,tka,0.9995120252634814
11,gauss,4,500,2,,0.005,ctka,0.7342385729478564
12,gauss,5,500,2,,0.3610404509192732,hsic,0.05029675523290085
13,gauss,5,500,2,,0.005,tka,0.9997877426322017
14,gauss,5,500,2,,0.0105245207225601,ctka,0.798624637493733
15,gauss,1,500,3,,0.20660062000576673,hsic,0.04659669523475463
16,gauss,1,500,3,,0.005,tka,0.9997206266120774
17,gauss,1,500,3,,49.99999999999999,ctka,0.899815719419103
18,gauss,2,500,3,,0.14240179342178994,hsic,0.045104501397256996
19,gauss,2,500,3,,0.005,tka,0.999490727428385
20,gauss,2,500,3,,49.99999999999999,ctka,0.9405547923283484
21,gauss,3,500,3,,0.17152346431574578,hsic,0.028107945365765462
22,gauss,3,500,3,,0.005,tka,0.9990457618292764
23,gauss,3,500,3,,49.99999999999999,ctka,0.834609694978089
24,gauss,4,500,3,,0.12975121056998673,hsic,0.046725019942718576
25,gauss,4,500,3,,0.005,tka,0.9984671965364754
26,gauss,4,500,3,,49.99999999999999,ctka,0.9119032507682238
27,gauss,5,500,3,,0.15628579248441177,hsic,0.05408597832560685
28,gauss,5,500,3,,0.005,tka,0.9995176916490721
29,gauss,5,500,3,,49.99999999999999,ctka,0.9394850987330029
30,gauss,1,500,10,,0.0105245207225601,hsic,0.040077385408700886
31,gauss,1,500,10,,49.99999999999999,tka,0.9999999999999999
32,gauss,1,500,10,,19.721030297188282,ctka,0.9999999999999996
33,gauss,2,500,10,,0.01155064850041579,hsic,0.04236383020978225
34,gauss,2,500,10,,49.99999999999999,tka,0.9999999999999999
35,gauss,2,500,10,,10.282561541743256,ctka,0.9999999999999875
36,gauss,3,500,10,,0.0105245207225601,hsic,0.039371594493938
37,gauss,3,500,10,,49.99999999999999,tka,0.9999999999999999
38,gauss,3,500,10,,10.282561541743256,ctka,1.000000000000003
39,gauss,4,500,10,,0.0105245207225601,hsic,0.04302855958425173
40,gauss,4,500,10,,49.99999999999999,tka,0.9999999999999999
41,gauss,4,500,10,,14.918236201416692,ctka,0.9999999999999992
42,gauss,5,500,10,,0.0105245207225601,hsic,0.036780660647017724
43,gauss,5,500,10,,49.99999999999999,tka,0.9999999999999999
44,gauss,5,500,10,,7.087370814634023,ctka,0.9999999999999797
45,gauss,1,500,50,,0.005,hsic,0.002062380273495672
46,gauss,1,500,50,,49.99999999999999,tka,0.9999999999999999
47,gauss,1,500,50,,0.056166201648901334,ctka,1.0
48,gauss,2,500,50,,0.005,hsic,0.0020555257186179
49,gauss,2,500,50,,49.99999999999999,tka,0.9999999999999999
50,gauss,2,500,50,,0.06765238872899032,ctka,1.0000000000000022
51,gauss,3,500,50,,0.005,hsic,0.002043821594709455
52,gauss,3,500,50,,49.99999999999999,tka,0.9999999999999999
53,gauss,3,500,50,,0.0511765510949513,ctka,0.9999999999999978
54,gauss,4,500,50,,0.005,hsic,0.0020465140684075493
55,gauss,4,500,50,,49.99999999999999,tka,0.9999999999999999
56,gauss,4,500,50,,0.0511765510949513,ctka,0.9999999999999986
57,gauss,5,500,50,,0.005,hsic,0.002046227742571012
58,gauss,5,500,50,,49.99999999999999,tka,0.9999999999999999
59,gauss,5,500,50,,0.056166201648901334,ctka,0.9999999999999999
60,gauss,1,500,100,,49.99999999999999,hsic,0.001996
61,gauss,1,500,100,,49.99999999999999,tka,0.9999999999999999
62,gauss,1,500,100,,0.01155064850041579,ctka,0.9999999999999999
63,gauss,2,500,100,,49.99999999999999,hsic,0.001996
64,gauss,2,500,100,,49.99999999999999,tka,0.9999999999999999
65,gauss,2,500,100,,0.0105245207225601,ctka,0.9999999999999999
66,gauss,3,500,100,,49.99999999999999,hsic,0.001996
67,gauss,3,500,100,,49.99999999999999,tka,0.9999999999999999
68,gauss,3,500,100,,0.0105245207225601,ctka,1.0
69,gauss,4,500,100,,49.99999999999999,hsic,0.001996
70,gauss,4,500,100,,49.99999999999999,tka,0.9999999999999999
71,gauss,4,500,100,,0.01155064850041579,ctka,0.9999999999999997
72,gauss,5,500,100,,49.99999999999999,hsic,0.001996
73,gauss,5,500,100,,49.99999999999999,tka,0.9999999999999999
74,gauss,5,500,100,,0.01155064850041579,ctka,1.0
75,gauss,1,1000,2,,0.4772742283309168,hsic,0.027286302551332978
76,gauss,1,1000,2,,0.005,tka,0.9998365450209267
77,gauss,1,1000,2,,0.005,ctka,0.6108322958582325
78,gauss,2,1000,2,,0.2997421251594704,hsic,0.033141323755841993
79,gauss,2,1000,2,,0.005,tka,0.999681453806201
80,gauss,2,1000,2,,0.005,ctka,0.6515261642493709
81,gauss,3,1000,2,,0.6924431856969362,hsic,0.024824626095948474
82,gauss,3,1000,2,,0.005,tka,0.9997883052215667
83,gauss,3,1000,2,,0.007961413966705452,ctka,0.4952299127188934
84,gauss,4,1000,2,,0.24885117821660546,hsic,0.044863412364847303
85,gauss,4,1000,2,,0.005,tka,0.9994826058731164
86,gauss,4,1000,2,,0.005,ctka,0.7214675058410188
87,gauss,5,1000,2,,0.3610404509192732,hsic,0.046689338840048736
88,gauss,5,1000,2,,0.005,tka,0.9998033140328816
89,gauss,5,1000,2,,0.005,ctka,0.7734777824138761
90,gauss,1,1000,3,,0.18824679033962335,hsic,0.04649362793011341
91,gauss,1,1000,3,,0.005,tka,0.9997348542299548
92,gauss,1,1000,3,,0.005,ctka,0.8768215318506398
93,gauss,2,1000,3,,0.14240179342178994,hsic,0.044680307433937604
