,trial,function,noise,init_gamma,gamma,scorer,value,mi
0,1,line,0.001,0.5,49.99999999999999,hsic,0.1119638897969231,5.216984272414182
1,1,line,0.001,0.5,41.432138642734216,hsic,0.11686808066929774,5.216984272414182
2,1,line,0.001,0.5,34.33244225021501,hsic,0.12121489471370912,5.216984272414182
3,1,line,0.001,0.5,28.44933014509148,hsic,0.12481197757829082,5.216984272414182
4,1,line,0.001,0.5,23.57433181728697,hsic,0.1274472653855763,5.216984272414182
5,1,line,0.001,0.5,19.534699685273083,hsic,0.12889711145632027,5.216984272414182
6,1,line,0.001,0.5,16.187287714088217,hsic,0.12894058499613895,5.216984272414182
7,1,line,0.001,0.5,13.41347897639863,hsic,0.12738131879760978,5.216984272414182
8,1,line,0.001,0.5,11.114982412630976,hsic,0.12407634451670127,5.216984272414182
9,1,line,0.001,0.5,9.210349846633582,hsic,0.11896788822520434,5.216984272414182
10,1,line,0.001,0.5,7.632089835876167,hsic,0.11211068131812217,5.216984272414182
11,1,line,0.001,0.5,6.324276084276483,hsic,0.10368639290133909,5.216984272414182
12,1,line,0.001,0.5,5.240565670773429,hsic,0.09399940737170838,5.216984272414182
13,1,line,0.001,0.5,4.342556868756765,hsic,0.08345296799535505,5.216984272414182
14,1,line,0.001,0.5,3.5984283650057605,hsic,0.0725092116781737,5.216984272414182
15,1,line,0.001,0.5,2.981811658297323,hsic,0.06163961401726583,5.216984272414182
16,1,line,0.001,0.5,2.470856680661918,hsic,0.05127422535736061,5.216984272414182
17,1,line,0.001,0.5,2.047457531190213,hsic,0.041758928371078835,5.216984272414182
18,1,line,0.001,0.5,1.696610885947665,hsic,0.033328707603664055,5.216984272414182
19,1,line,0.001,0.5,1.4058843489871153,hsic,0.02610089165138707,5.216984272414182
20,1,line,0.001,0.5,1.1649759052576867,hsic,0.020086810711347027,5.216984272414182
21,1,line,0.001,0.5,0.9653488644416254,hsic,0.015215861107613051,5.216984272414182
22,1,line,0.001,0.5,0.7999293598030295,hsic,0.011364338208709296,5.216984272414182
23,1,line,0.001,0.5,0.6628556827950548,hsic,0.008382524717390991,5.216984272414182
24,1,line,0.001,0.5,0.5492705709937792,hsic,0.006116101686484369,5.216984272414182
25,1,line,0.001,0.5,0.4551490889957608,hsic,0.004420580050733623,5.216984272414182
26,1,line,0.001,0.5,0.3771560031677311,hsic,0.003169311174432462,5.216984272414182
27,1,line,0.001,0.5,0.3125275962636988,hsic,0.0022565526145511333,5.216984272414182
28,1,line,0.001,0.5,0.25897373396156065,hsic,0.0015972505406921377,5.216984272414182
29,1,line,0.001,0.5,0.2145967130064389,hsic,0.0011249699483796172,5.216984272414182
30,1,line,0.001,0.5,0.17782401531115663,hsic,0.0007890204864482806,5.216984272414182
31,1,line,0.001,0.5,0.14735258512759064,hsic,0.0005514492370032056,5.216984272414182
32,1,line,0.001,0.5,0.12210265472743262,hsic,0.0003842730465721981,5.216984272414182
33,1,line,0.001,0.5,0.1011794823862579,hsic,0.0002671165975556903,5.216984272414182
34,1,line,0.001,0.5,0.08384164684055041,hsic,0.00018529561483037008,5.216984272414182
35,1,line,0.001,0.5,0.06947477471865694,hsic,0.0001283161755462825,5.216984272414182
36,1,line,0.001,0.5,0.05756976996632241,hsic,8.873080325710645e-05,5.216984272414182
37,1,line,0.001,0.5,0.04770477381749972,hsic,6.128420990203316e-05,5.216984272414182
38,1,line,0.001,0.5,0.039530216054538506,hsic,4.228547508342123e-05,5.216984272414182
39,1,line,0.001,0.5,0.03275642784297758,hsic,2.915245324506238e-05,5.216984272414182
40,1,line,0.001,0.5,0.027143377196619328,hsic,2.0084497372611548e-05,5.216984272414182
41,1,line,0.001,0.5,0.022492163344847247,hsic,1.382927243669586e-05,5.216984272414182
42,1,line,0.001,0.5,0.01863796860157471,hsic,9.517705114986343e-06,5.216984272414182
43,1,line,0.001,0.5,0.01544421798238741,hsic,6.547788751281557e-06,5.216984272414182
44,1,line,0.001,0.5,0.012797739613497689,hsic,4.50314175712798e-06,5.216984272414182
45,1,line,0.001,0.5,0.010604754439600964,hsic,3.0961303930849035e-06,5.216984272414182
46,1,line,0.001,0.5,0.008787553124273964,hsic,2.1282642797873855e-06,5.216984272414182
47,1,line,0.001,0.5,0.007281742387506222,hsic,1.462686245074498e-06,5.216984272414182
48,1,line,0.001,0.5,0.006033963203196644,hsic,1.0051014400214713e-06,5.216984272414182
49,1,line,0.001,0.5,0.005,hsic,6.905786498257678e-07,5.216984272414182
50,1,line,0.001,0.5,49.99999999999999,tka,0.999952667234776,5.216984272414182
51,1,line,0.001,0.5,41.432138642734216,tka,0.9999610524059686,5.216984272414182
52,1,line,0.001,0.5,34.33244225021501,tka,0.9999679778899742,5.216984272414182
53,1,line,0.001,0.5,28.44933014509148,tka,0.9999736961759355,5.216984272414182
54,1,line,0.001,0.5,23.57433181728697,tka,0.9999784159929295,5.216984272414182
55,1,line,0.001,0.5,19.534699685273083,tka,0.9999823099538361,5.216984272414182
56,1,line,0.001,0.5,16.187287714088217,tka,0.9999855209860411,5.216984272414182
57,1,line,0.001,0.5,13.41347897639863,tka,0.9999881676055368,5.216984272414182
58,1,line,0.001,0.5,11.114982412630976,tka,0.9999903481363959,5.216984272414182
59,1,line,0.001,0.5,9.210349846633582,tka,0.9999921440663596,5.216984272414182
60,1,line,0.001,0.5,7.632089835876167,tka,0.999993622785907,5.216984272414182
61,1,line,0.001,0.5,6.324276084276483,tka,0.9999948399200587,5.216984272414182
62,1,line,0.001,0.5,5.240565670773429,tka,0.9999958413479221,5.216984272414182
63,1,line,0.001,0.5,4.342556868756765,tka,0.9999966648901161,5.216984272414182
64,1,line,0.001,0.5,3.5984283650057605,tka,0.9999973416182216,5.216984272414182
65,1,line,0.001,0.5,2.981811658297323,tka,0.9999978968347882,5.216984272414182
66,1,line,0.001,0.5,2.470856680661918,tka,0.9999983509066733,5.216984272414182
67,1,line,0.001,0.5,2.047457531190213,tka,0.999998720151824,5.216984272414182
68,1,line,0.001,0.5,1.696610885947665,tka,0.9999990178243694,5.216984272414182
69,1,line,0.001,0.5,1.4058843489871153,tka,0.999999255057316,5.216984272414182
70,1,line,0.001,0.5,1.1649759052576867,tka,0.9999994415741003,5.216984272414182
71,1,line,0.001,0.5,0.9653488644416254,tka,0.999999586082099,5.216984272414182
72,1,line,0.001,0.5,0.7999293598030295,tka,0.9999996963974344,5.216984272414182
73,1,line,0.001,0.5,0.6628556827950548,tka,0.9999997794230256,5.216984272414182
74,1,line,0.001,0.5,0.5492705709937792,tka,0.9999998410955787,5.216984272414182
